current_state,previous_state,estimate,margin_of_error,year
NC,IL,6013,1609.0,2017
NC,IN,4392,1679.0,2017
NC,KS,1590,1048.0,2017
NC,KY,1531,759.0,2017
NC,LA,3491,1407.0,2017
NC,MA,7605,2294.0,2017
NC,MD,10899,2903.0,2017
NC,ME,1014,658.0,2017
NC,MI,5404,1348.0,2017
NC,MN,2769,1255.0,2017
NC,MO,4394,1691.0,2017
NC,MS,1723,970.0,2017
NC,MT,433,437.0,2017
NC,ND,571,448.0,2017
NC,NE,259,275.0,2017
NC,NH,273,226.0,2017
NC,NJ,11559,2631.0,2017
NC,NM,1047,892.0,2017
NC,NV,1758,959.0,2017
NC,NY,27031,4381.0,2017
NC,OH,11359,3377.0,2017
NC,OK,1260,519.0,2017
NC,OR,1778,1166.0,2017
NC,PA,12542,3162.0,2017
NC,RI,234,226.0,2017
NC,SC,28508,4023.0,2017
NC,SD,12,22.0,2017
NC,TN,8416,2141.0,2017
NC,TX,14655,3149.0,2017
NC,UT,623,401.0,2017
NC,VA,27833,4184.0,2017
NC,VT,524,486.0,2017
NC,WA,5896,2266.0,2017
NC,WI,1895,801.0,2017
NC,WV,3423,1629.0,2017
NC,WY,159,212.0,2017
NC,AK,1562,728.0,2018
NC,AL,3287,1262.0,2018
NC,AR,1897,948.0,2018
NC,AZ,2622,969.0,2018
NC,CA,17536,3401.0,2018
NC,CO,5471,1968.0,2018
NC,CT,2702,1271.0,2018
NC,DC,2031,742.0,2018
NC,DE,1988,1812.0,2018
NC,FL,37585,5425.0,2018
NC,GA,17020,2890.0,2018
NC,HI,3402,2708.0,2018
NC,IA,1976,1347.0,2018
NC,ID,244,255.0,2018
NC,IL,6544,2204.0,2018
NC,IN,3506,1459.0,2018
NC,KS,1815,941.0,2018
NC,KY,3906,1229.0,2018
NC,LA,2454,1008.0,2018
NC,MA,5822,1980.0,2018
NC,MD,8717,2731.0,2018
NC,ME,1235,878.0,2018
NC,MI,5793,1790.0,2018
NC,MN,3342,2998.0,2018
NC,MO,2993,1068.0,2018
NC,MS,3441,1854.0,2018
NC,MT,331,417.0,2018
NC,ND,177,217.0,2018
NC,NE,1052,584.0,2018
NC,NH,1862,1091.0,2018
NC,NJ,11947,3271.0,2018
NC,NM,2306,1610.0,2018
NC,NV,857,752.0,2018
NC,NY,25596,4168.0,2018
NC,OH,9431,2358.0,2018
NC,OK,2034,1101.0,2018
NC,OR,3066,1366.0,2018
NC,PA,12058,2702.0,2018
NC,RI,1535,1710.0,2018
NC,SC,26091,3845.0,2018
NC,SD,57,100.0,2018
NC,TN,7476,2384.0,2018
NC,TX,18748,3731.0,2018
NC,UT,1735,991.0,2018
NC,VA,27843,3265.0,2018
NC,VT,1208,742.0,2018
NC,WA,6790,3095.0,2018
NC,WI,1920,904.0,2018
NC,WV,4624,1449.0,2018
NC,WY,1046,920.0,2018
NC,AK,1568,930.0,2019
NC,AL,4697,1750.0,2019
NC,AR,1976,1541.0,2019
NC,AZ,5319,2022.0,2019
NC,CA,18023,3467.0,2019
NC,CO,6089,2295.0,2019
NC,CT,5840,2201.0,2019
NC,DC,1700,896.0,2019
NC,DE,1595,1123.0,2019
NC,FL,30032,3587.0,2019
NC,GA,19017,3783.0,2019
NC,HI,2955,1904.0,2019
NC,IA,1227,764.0,2019
NC,ID,476,326.0,2019
NC,IL,6527,1739.0,2019
NC,IN,5646,2182.0,2019
NC,KS,857,529.0,2019
NC,KY,4793,1813.0,2019
NC,LA,1272,785.0,2019
NC,MA,5389,1672.0,2019
NC,MD,13408,4234.0,2019
NC,ME,526,339.0,2019
NC,MI,6302,2454.0,2019
NC,MN,2447,1172.0,2019
NC,MO,2982,1402.0,2019
NC,MS,818,347.0,2019
NC,MT,1004,803.0,2019
NC,ND,980,952.0,2019
NC,NE,217,240.0,2019
NC,NH,867,593.0,2019
NC,NJ,15297,3625.0,2019
NC,NM,1270,1351.0,2019
NC,NV,1094,773.0,2019
NC,NY,23571,3910.0,2019
NC,OH,9698,2712.0,2019
NC,OK,1705,911.0,2019
NC,OR,1976,1006.0,2019
NC,PA,13341,3126.0,2019
NC,RI,1531,1184.0,2019
NC,SC,27740,4708.0,2019
NC,SD,185,394.0,2019
NC,TN,9970,2049.0,2019
NC,TX,14226,3058.0,2019
NC,UT,1125,738.0,2019
NC,VA,29764,3898.0,2019
NC,VT,435,343.0,2019
NC,WA,2984,1206.0,2019
NC,WI,1643,891.0,2019
NC,WV,2950,1455.0,2019
NC,WY,161,239.0,2019
